ID,ID2,NAME,NoCollared,Pack,DATE_,Season,EASTING,NORTHING,HOW_OBTAIN,CONFIDENCE,PackID,elevati
164,1256,63,1,Bow valley,11/1/02,winter,586500,5673700,2,1,2,1402
165,1257,63,1,Bow valley,11/2/02,winter,568600,5678700,2,1,2,1808
166,1316,63,1,Bow valley,11/11/02,winter,574700,5680700,2,1,2,1442
167,1317,63,1,Bow valley,11/12/02,winter,580100,5678500,2,1,2,1433
168,1318,63,1,Bow valley,11/12/02,winter,574700,5680600,2,1,2,1438
169,1319,63,1,Bow valley,11/9/02,winter,565100,5688300,2,1,2,1494
170,1320,63,1,Bow valley,11/10/02,winter,574450,5680600,2,1,2,1433
171,1321,63,1,Bow valley,11/13/02,winter,593470,5669550,2,1,2,1402
172,1322,63,1,Bow valley,11/5/02,winter,584300,5675400,2,2,2,1402
173,1323,63,1,Bow valley,11/14/02,winter,589100,5671100,2,1,2,1404
174,1324,63,1,Bow valley,11/23/02,winter,583900,5676600,2,1,2,1436
175,1325,63,1,Bow valley,11/22/02,winter,583900,5676600,2,2,2,1436
176,1327,63,1,Bow valley,12/3/02,winter,585000,5676200,2,2,2,1426
177,1328,63,1,Bow valley,11/26/02,winter,584850,5675800,2,2,2,1409
178,1329,63,1,Bow valley,11/27/02,winter,588600,5671600,2,1,2,1402
179,1330,63,1,Bow valley,12/1/02,winter,568950,5685650,2,1,2,1528
180,1331,63,1,Bow valley,11/24/02,winter,584650,5675700,2,1,2,1406
181,1332,63,1,Bow valley,11/30/02,winter,568550,5685470,2,2,2,1493
182,1333,63,1,Bow valley,12/9/02,winter,582315,5677080,2,1,2,1464
183,1350,63,1,Bow valley,12/14/02,winter,589700,5670400,2,1,2,1403
184,1351,63,1,Bow valley,12/13/02,winter,575200,5681500,2,1,2,1580
185,1352,63,1,Bow valley,12/12/02,winter,568400,5685200,2,1,2,1483
186,1363,63,1,Bow valley,12/26/02,winter,586200,5674050,2,1,2,1402
187,1364,63,1,Bow valley,12/24/02,winter,579581,5677791,1,1,2,1431
188,1365,63,1,Bow valley,12/22/02,winter,579600,5677900,2,1,2,1431
189,1366,63,1,Bow valley,12/28/02,winter,587800,5672100,2,1,2,1402
190,1367,63,1,Bow valley,12/28/02,winter,588200,5671800,2,1,2,1402
191,1368,63,1,Bow valley,12/27/02,winter,586300,5673900,2,1,2,1402
192,1369,63,1,Bow valley,12/29/02,winter,576878,5679496,2,1,2,1433
193,1383,63,1,Bow valley,1/4/03,winter,603733,5656997,1,1,2,1554
194,1384,63,1,Bow valley,1/1/03,winter,566300,5690000,2,1,2,1621
195,1385,63,1,Bow valley,1/8/03,winter,573600,5682000,2,1,2,1460
196,1386,63,1,Bow valley,1/2/03,winter,585200,5675700,2,1,2,1411
197,1387,63,1,Bow valley,1/16/03,winter,594750,5668375,2,2,2,1411
198,1388,63,1,Bow valley,1/7/03,winter,576400,5679300,2,1,2,1433
199,1389,63,1,Bow valley,1/21/03,winter,580300,5677600,2,1,2,1430
200,1390,63,1,Bow valley,1/20/03,winter,580391,5678412,2,1,2,1433
201,1391,63,1,Bow valley,1/18/03,winter,574600,5680900,2,1,2,1446
202,1392,63,1,Bow valley,1/23/03,winter,586050,5675400,2,1,2,1447
203,1393,63,1,Bow valley,1/29/03,winter,573100,5681900,2,1,2,1443
204,1394,63,1,Bow valley,1/27/03,winter,579800,5678850,2,2,2,1433
205,1395,63,1,Bow valley,2/4/03,winter,585300,5674950,2,1,2,1402
206,1396,63,1,Bow valley,2/3/03,winter,588250,5671900,2,1,2,1402
207,1397,63,1,Bow valley,2/8/03,winter,585100,5675600,2,1,2,1406
208,1398,63,1,Bow valley,2/7/03,winter,584800,5675700,2,1,2,1404
209,1399,63,1,Bow valley,2/6/03,winter,591700,5669100,2,2,2,1402
210,1400,63,1,Bow valley,2/6/03,winter,590200,5670700,2,2,2,1629
211,1401,63,1,Bow valley,2/2/03,winter,583600,5677050,2,1,2,1488
212,1402,63,1,Bow valley,2/1/03,winter,560900,5693600,2,1,2,1520
213,1403,63,1,Bow valley,1/31/03,winter,558750,5697800,2,1,2,1613
214,1404,63,1,Bow valley,1/30/03,winter,570500,5683600,2,2,2,1495
215,1405,63,1,Bow valley,1/25/03,winter,587500,5673700,2,1,2,1437
216,1406,63,1,Bow valley,1/24/03,winter,584000,5676800,2,1,2,1510
217,1424,63,1,Bow valley,2/11/03,winter,586750,5673350,2,2,2,1402
218,1428,63,1,Bow valley,1/9/03,winter,590100,5669800,2,1,2,1402
219,1429,63,1,Bow valley,3/7/03,winter,589500,5671300,2,1,2,1546
220,1430,63,1,Bow valley,3/6/03,winter,578000,5679100,2,1,2,1433
221,1431,63,1,Bow valley,3/3/03,winter,585000,5675875,2,2,2,1409
222,1457,63,1,Bow valley,2/16/03,winter,591164,5669422,2,1,2,1428
223,1462,63,1,Bow valley,2/23/03,winter,590200,5669200,2,1,2,1402
224,1464,63,1,Bow valley,3/3/03,winter,583685,5676810,2,1,2,1443
225,1467,63,1,Bow valley,3/8/03,winter,593500,5667600,2,2,2,1512
226,1468,63,1,Bow valley,3/9/03,winter,592150,5668000,2,1,2,1402
227,1469,63,1,Bow valley,1/28/03,winter,573375,5681950,2,1,2,1447
228,1470,63,1,Bow valley,2/16/03,winter,560750,5694350,2,1,2,1520
229,1471,63,1,Bow valley,3/9/03,winter,593400,5668670,2,1,2,1402
230,1472,63,1,Bow valley,3/10/03,winter,593075,5669100,2,1,2,1402
231,1473,63,1,Bow valley,3/12/03,winter,589700,5670900,2,1,2,1519
232,1474,63,1,Bow valley,3/16/03,winter,589000,5671900,2,1,2,1498
233,1475,63,1,Bow valley,3/19/03,winter,603720,5660100,2,1,2,1525
234,1476,63,1,Bow valley,3/21/03,winter,594700,5669900,2,1,2,1402
235,1477,63,1,Bow valley,3/23/03,winter,568700,5685100,2,1,2,1492
236,1478,63,1,Bow valley,3/22/03,winter,579800,5678200,2,2,2,1432
237,1494,63,1,Bow valley,3/24/03,winter,588300,5671450,2,1,2,1402
238,1497,63,1,Bow valley,3/25/03,winter,583100,5674632,2,1,2,1463
239,1498,63,1,Bow valley,3/31/03,winter,584050,5676050,2,2,2,1441
240,1499,63,1,Bow valley,4/3/03,winter,565100,5690800,2,1,2,1608
241,1500,63,1,Bow valley,4/2/03,winter,576998,5679468,2,1,2,1433
242,1501,63,1,Bow valley,4/5/03,winter,591300,5669100,2,1,2,1402
243,1502,63,1,Bow valley,4/11/03,winter,568300,5684700,2,1,2,1473
244,1503,63,1,Bow valley,4/10/03,winter,576600,5679500,2,1,2,1433
245,1504,63,1,Bow valley,4/9/03,winter,592600,5668700,2,1,2,1402
246,1526,63,1,Bow valley,4/10/03,winter,571537,5682950,2,1,2,1462
247,1527,63,1,Bow valley,4/12/03,winter,585200,5675800,2,1,2,1414
248,1528,63,1,Bow valley,4/13/03,winter,586800,5673500,2,1,2,1402
249,1529,63,1,Bow valley,4/14/03,winter,589200,5669700,2,1,2,1402
250,1537,63,1,Bow valley,2/19/03,winter,569300,5685200,2,1,2,1546
251,1538,63,1,Bow valley,2/17/03,winter,583460,5676500,2,2,2,1438
252,1539,63,1,Bow valley,2/13/03,winter,568500,5685750,2,1,2,1506
253,1540,63,1,Bow valley,2/12/03,winter,584850,5675700,2,1,2,1404
254,1541,63,1,Bow valley,2/18/03,winter,593025,5670075,2,2,2,1607
