"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","pack","used"
6,4,6,6,1,6,1490.39377777732,608.830537493589,"Bow Valley",1
6,3,4,1,1,5,1473.94666666629,69.6840333580039,"Bow Valley",1
3,4,4,3,4,4,1856.68711111195,1631.43706684753,"Bow Valley",1
5,5,5,3,1,5,1425.0737777777,303.252131852248,"Bow Valley",1
5,5,5,3,1,5,1402,193.272949948802,"Bow Valley",1
4,4,4,1,3,4,1433,435.223684606606,"Bow Valley",1
5,5,5,3,1,5,1402,167.413440466858,"Bow Valley",1
6,3,6,1,3,6,1569.24711111047,165.918568125378,"Bow Valley",1
6,3,4,1,1,5,1442.40622222187,235.226445229766,"Bow Valley",1
5,5,5,3,1,5,1420,328.910335755186,"Bow Valley",1
4,4,4,4,3,4,1661.87377777781,385.255570672788,"Bow Valley",1
4,4,4,1,1,5,1619.56666666641,793.151050238935,"Bow Valley",1
5,5,5,3,1,5,1402,526.002747583362,"Bow Valley",1
5,5,5,3,1,5,1402,374.039241253652,"Bow Valley",1
4,4,3,1,1,4,1811.07333333309,528.184399752405,"Bow Valley",1
4,4,4,1,1,4,1443.21999999994,67.5113664661284,"Bow Valley",1
4,5,5,3,3,5,1433,115.164087714772,"Bow Valley",1
4,4,4,1,1,4,1438.58622222212,168.500757750776,"Bow Valley",1
1,1,1,1,1,1,1494,189.487380073766,"Bow Valley",1
4,4,4,1,1,4,1433,320.62374658565,"Bow Valley",1
5,6,6,1,1,6,1402,190.450772545703,"Bow Valley",1
5,5,5,3,1,5,1402,252.586559533142,"Bow Valley",1
4,6,5,1,1,5,1404.68666666667,94.455824447672,"Bow Valley",1
6,3,4,1,1,5,1436.80622222205,8.52360412042671,"Bow Valley",1
6,3,4,1,1,5,1436.80622222205,8.52360412042671,"Bow Valley",1
6,1,6,5,1,6,1427.43288888872,80.374802945335,"Bow Valley",1
6,3,4,1,1,5,1408.84666666661,20.3159666419961,"Bow Valley",1
4,6,5,1,1,5,1402,181.905590670469,"Bow Valley",1
4,5,4,3,1,4,1526.30666666679,300.967086138911,"Bow Valley",1
6,3,4,1,1,5,1407.91333333315,23.8047225996683,"Bow Valley",1
