"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","pack","used"
1,1,1,1,4,1,2802.01377777728,1102.56851964973,"Red Deer",0
3,3,3,5,6,3,2176.58000000095,1557.40047146981,"Red Deer",0
3,3,3,5,6,3,2236.22711111058,336.461336579383,"Red Deer",0
,,,,,,2285.0333333334,1175.20067977483,"Red Deer",0
5,3,4,5,5,5,2058.19377777727,1752.58655953314,"Red Deer",0
3,4,5,5,4,4,2428.09333333314,5990.43393850007,"Red Deer",0
4,3,3,5,6,4,2278.51333333271,661.058880505743,"Red Deer",0
4,5,4,3,3,4,1961.49333333358,1518.32780888708,"Red Deer",0
1,1,1,1,4,1,2049.01911111177,2072.88150583856,"Red Deer",0
,,,,,,2000.34000000086,1010.37933088605,"Red Deer",0
,,,,,,2235.20622222198,326.491582552204,"Red Deer",0
4,5,4,3,1,4,1785.87999999975,1948.49830242673,"Red Deer",0
,,,,,,1818.27999999993,698.331135709181,"Red Deer",0
1,1,1,1,3,1,2250.48622222243,292.503471388177,"Red Deer",0
1,1,1,1,4,1,2433.40844444449,580.127555957047,"Red Deer",0
4,5,5,3,3,5,1707,20.3159666419961,"Red Deer",0
4,5,5,3,3,5,1763,363.006316732238,"Red Deer",0
,,,,,,2303.72622222175,1341.97670699436,"Red Deer",0
,,,,,,1823.67288888922,678.046720349956,"Red Deer",0
3,4,5,5,4,4,2408.78711111054,4529.53123554304,"Red Deer",0
4,5,4,1,4,4,1591.97377777801,132.586559533142,"Red Deer",0
4,5,5,3,3,5,1863.16044444455,45.8955463487712,"Red Deer",0
4,5,4,3,3,4,1888.32044444449,734.383441042784,"Red Deer",0
4,5,5,3,1,5,1821.62666666667,177.32108360048,"Red Deer",0
4,3,3,3,1,4,2153.97955555534,1745.48924034492,"Red Deer",0
,,,,,,1936.74666666692,625.288184610877,"Red Deer",0
4,3,3,5,6,4,2175.0533333321,302.838339625968,"Red Deer",0
5,3,6,1,5,6,1975.53999999956,231.275406923626,"Red Deer",0
5,4,3,3,3,5,1635.56000000013,747.810848364378,"Red Deer",0
3,5,3,3,4,3,2104.22666666648,119.4938313692,"Red Deer",0
3,4,3,3,4,3,2350.82666666604,892.080757646898,"Red Deer",0
1,1,1,1,4,1,2286.81333333295,2606.22644376517,"Red Deer",0
4,4,4,4,3,4,1916.31288888966,357.08919989479,"Red Deer",0
1,1,1,1,4,1,2471.74044444524,3044.26152644704,"Red Deer",0
4,4,4,4,3,4,2243.72711111096,3914.7620687843,"Red Deer",0
,,,,,,2517.78711111003,1526.47554200068,"Red Deer",0
,,,,,,1823.80666666692,88.14701541725,"Red Deer",0
4,5,4,3,3,4,2047.30000000024,1587.78563230313,"Red Deer",0
1,1,1,1,4,1,2534.01333333258,761.762713968434,"Red Deer",0
,,,,,,2414.12400000024,1536.40860367888,"Red Deer",0
,,,,,,2067.30666666679,244.292420062617,"Red Deer",0
3,4,3,1,1,3,1843.32622222249,102.289656672962,"Red Deer",0
1,1,1,1,4,1,2390.20622222131,2611.32199257454,"Red Deer",0
4,5,4,1,4,4,1684.46666666673,23.8047225996683,"Red Deer",0
1,1,1,1,4,1,2230.42711111123,6721.38245701938,"Red Deer",0
1,3,3,1,3,3,2356.67333333265,961.564060739857,"Red Deer",0
,,,,,,2100.63999999925,1397.41344046686,"Red Deer",0
1,1,1,5,5,3,2437.55955555552,3938.27871284675,"Red Deer",0
,,,,,,1765.22666666674,470.315966641996,"Red Deer",0
4,5,4,3,3,4,1859,759.932542189745,"Red Deer",0
3,4,5,5,4,4,2231.18666666679,898.658073138895,"Red Deer",0
3,3,4,6,5,4,2329.10622222255,838.901251637621,"Red Deer",0
1,1,3,4,6,3,1974.67377777844,463.245305513388,"Red Deer",0
,,,,,,1764.03999999994,388.397127927809,"Red Deer",0
1,1,1,1,4,1,2481.51288888861,1266.75913920997,"Red Deer",0
1,4,3,3,5,3,2176.24044444392,54.0110478629777,"Red Deer",0
4,5,4,1,4,4,2040.25955555595,3743.19560236081,"Red Deer",0
4,4,4,4,3,4,1808.56622222248,487.546858653877,"Red Deer",0
1,1,1,1,1,1,2307.34044444412,5862.12802230022,"Red Deer",0
1,1,1,1,4,1,2926.67866666579,2058.36289644196,"Red Deer",0
3,3,3,4,4,3,2126.22666666648,668.129933667202,"Red Deer",0
,,,,,,2664.67288888964,2132.23695480935,"Red Deer",0
1,1,1,1,1,1,2492.66044444416,929.963738792291,"Red Deer",0
1,1,1,1,4,1,2595.01466666717,3746.27312800537,"Red Deer",0
1,1,3,6,5,3,2593.38533333369,1931.91856652214,"Red Deer",0
1,1,3,4,6,3,1991.57333333415,323.049113426032,"Red Deer",0
4,4,4,3,1,4,2050.63911111096,2150.32451295687,"Red Deer",0
5,3,6,1,5,6,1746.88044444394,133.892951562766,"Red Deer",0
4,5,4,3,3,4,2005.58711111066,407.413440466858,"Red Deer",0
1,1,1,1,4,1,2616.49288888779,2114.15495116324,"Red Deer",0
1,4,3,1,1,3,2271.61333333358,294.535538547361,"Red Deer",0
,,,,,,2243.36666666653,667.328269137104,"Red Deer",0
,,,,,,1852.67999999945,20.3159666419961,"Red Deer",0
,,,,,,1565.35466666643,11.7923625215693,"Red Deer",0
,,,,,,2275.17333333277,134.882268832932,"Red Deer",0
1,1,1,1,4,1,3256.15244444257,1635.96986755212,"Red Deer",0
3,1,3,6,5,3,2365.14000000014,2225.8003516586,"Red Deer",0
,,,,,,2008.6062222215,42.5865595331416,"Red Deer",0
3,4,4,3,4,4,1837.5404444451,814.791166286312,"Red Deer",0
4,5,4,1,4,4,1889.61288888897,64.7275672957172,"Red Deer",0
4,5,4,3,3,4,1904.24000000025,1101.23929442172,"Red Deer",0
1,1,1,1,4,1,2395.3204444433,1066.23674240442,"Red Deer",0
3,3,3,4,4,3,2147.82622222236,254.125761851376,"Red Deer",0
4,4,4,4,3,4,1964.12666666705,252.556870455566,"Red Deer",0
1,1,1,1,4,1,2626.79999999919,1490.78636723959,"Red Deer",0
,,,,,,1615.32044444449,333.125894945511,"Red Deer",0
1,1,1,1,3,1,2454.5737777785,348.8265385503,"Red Deer",0
4,4,4,3,3,4,1672.78000000006,488.342753334482,"Red Deer",0
4,5,4,3,3,4,1929.19955555569,8.52360412042671,"Red Deer",0
1,1,1,1,4,1,2531.5546666674,691.871966884313,"Red Deer",0
4,4,4,4,3,4,2115.06755555627,920.599775207041,"Red Deer",0
4,5,4,3,3,4,1863.41422222249,795.478709837252,"Red Deer",0
,,,,,,1682.64088888897,19.8905687136943,"Red Deer",0
3,5,4,1,3,4,1661.46666666673,484.134294314877,"Red Deer",0
3,3,3,5,6,3,1955.04666666598,2083.32886821444,"Red Deer",0
,,,,,,1929.96711111053,112.024597157502,"Red Deer",0
1,1,1,1,1,1,2476.02666666685,4455.61476336236,"Red Deer",0
4,4,4,4,3,4,1929.10622222255,168.322490102427,"Red Deer",0
1,4,1,3,4,3,2110.0400000002,239.375487711515,"Red Deer",0
1,1,1,1,1,1,2618.93422222225,6090.04687864932,"Red Deer",0
1,1,1,1,4,1,2528.16622222306,505.770233346158,"Red Deer",0
3,3,3,5,6,3,2150.33333333322,1049.60027513583,"Red Deer",0
1,1,1,1,4,1,2389.83422222071,4156.60593785588,"Red Deer",0
5,4,4,1,4,5,2189.41333333276,760.982066419054,"Red Deer",0
,,,,,,1930.69955555608,147.236797975177,"Red Deer",0
3,3,4,6,5,4,2252.96044444331,2600.38397104295,"Red Deer",0
4,6,4,3,1,4,2251.94666666629,2020.91298099391,"Red Deer",0
3,4,4,4,4,4,2225.31333333333,81.2751003089475,"Red Deer",0
,,,,,,1620.40000000019,312.586559533142,"Red Deer",0
,,,,,,2271.27333333339,337.67634163034,"Red Deer",0
4,4,3,1,1,4,1807.89333333377,1116.51556151958,"Red Deer",0
4,5,4,1,4,4,1907.37333333333,82.0941408752999,"Red Deer",0
1,1,1,1,4,1,3053.78000000048,3738.4511880427,"Red Deer",0
3,3,3,3,1,3,2203.27377777665,287.413440466858,"Red Deer",0
3,3,3,5,5,3,2316.63333333414,5182.20443387924,"Red Deer",0
3,3,3,5,6,3,2139.20711111146,689.250036446708,"Red Deer",0
1,1,1,1,4,1,2631.62044444566,4019.3029589626,"Red Deer",0
,,,,,,1975.04044444455,681.030296029784,"Red Deer",0
1,1,1,1,1,1,2507.12622222235,2256.87730799887,"Red Deer",0
,,,,,,1889.18044444486,672.95177868943,"Red Deer",0
,,,,,,2290.96666666676,2993.29048002352,"Red Deer",0
5,3,4,5,5,5,2245.97333333247,827.413440466858,"Red Deer",0
,,,,,,2224.42666666704,205.401194550447,"Red Deer",0
4,5,4,1,4,4,1802.80044444431,700.805126091566,"Red Deer",0
,,,,,,1882.53333333395,701.243712618299,"Red Deer",0
4,3,3,5,6,4,2090.77333333377,185.720852496418,"Red Deer",0
1,1,1,1,1,1,2353.24666666705,1984.41038716705,"Red Deer",0
3,3,3,5,6,3,2189.82666666578,2480.42391004827,"Red Deer",0
1,1,3,6,5,3,2429.95288888958,1854.27514512562,"Red Deer",0
4,3,3,3,1,4,2039.14666666685,1922.8826670891,"Red Deer",0
3,4,5,5,4,4,2202.56622222206,3703.18015681978,"Red Deer",0
1,1,1,1,1,1,2500.84088888953,3864.19201666059,"Red Deer",0
1,1,1,1,1,1,2855.50444444447,3001.53633377819,"Red Deer",0
1,1,3,6,5,3,2456.24666666612,1743.12314963891,"Red Deer",0
,,,,,,2237.95333333258,188.560866920442,"Red Deer",0
,,,,,,1806.13377777795,91.6102146483408,"Red Deer",0
5,4,4,1,4,5,2248.1666666669,953.576350162884,"Red Deer",0
,,,,,,1957.89911111059,577.982848775338,"Red Deer",0
4,5,4,3,1,4,1541.99333333345,1032.84852247442,"Red Deer",0
,,,,,,1668.24666666679,683.506817841093,"Red Deer",0
1,1,1,1,4,1,2690.15244444325,534.515098227305,"Red Deer",0
,,,,,,2090.72666666635,493.59657676138,"Red Deer",0
4,5,4,3,3,4,1943.34044444547,1276.93189671845,"Red Deer",0
3,3,3,1,1,3,2152.93333333346,3336.94792708578,"Red Deer",0
4,4,4,1,1,4,1819.68622222273,164.991825737773,"Red Deer",0
3,4,4,4,4,4,2137.50088888934,1261.78803652076,"Red Deer",0
,,,,,,1624.21288888878,19.8905687136943,"Red Deer",0
1,1,1,1,4,1,2479.80666666557,1476.26492306503,"Red Deer",0
4,5,4,3,3,4,1955.66000000007,453.469565938212,"Red Deer",0
1,4,3,3,5,3,2144.79377777708,392.224000090566,"Red Deer",0
1,1,1,1,4,1,2878.27333333272,502.466691237523,"Red Deer",0
1,1,1,1,4,1,2607.21955555745,3535.9297594502,"Red Deer",0
4,4,4,4,3,4,1971.1462222225,839.3584855914,"Red Deer",0
3,4,4,3,1,4,1728.35955555563,1000.29378114052,"Red Deer",0
,,,,,,2103.55955555484,1208.34233962647,"Red Deer",0
3,3,3,1,1,3,2131.25955555595,303.252131852248,"Red Deer",0
4,1,4,1,1,4,1816.41377777788,2232.22810851454,"Red Deer",0
,,,,,,1591.53333333327,129.684033358004,"Red Deer",0
3,3,3,4,4,3,2108.39288888903,2772.1049697137,"Red Deer",0
4,4,4,4,3,4,2053.53999999956,1068.0487622739,"Red Deer",0
1,1,1,1,1,1,2804.56755555547,6113.14536321682,"Red Deer",0
3,3,4,6,5,4,2277.43288888847,1779.684033358,"Red Deer",0
1,3,3,5,5,3,2380.56666666667,1094.09917716817,"Red Deer",0
4,3,4,4,1,4,2128.31333333333,119.164475988068,"Red Deer",0
1,1,1,1,4,1,2847.68977777834,1323.11672377994,"Red Deer",0
4,5,4,3,3,4,1840.76622222237,1075.32130581636,"Red Deer",0
,,,,,,1996.46666666673,1099.39342730593,"Red Deer",0
4,4,4,4,3,4,2175.97288888947,1772.91428615354,"Red Deer",0
1,1,1,1,3,1,2199.16044444548,166.47576514506,"Red Deer",0
,,,,,,1743.29333333302,260.315966641996,"Red Deer",0
4,5,4,1,4,4,1921.46666666673,115.164087714772,"Red Deer",0
1,1,1,1,4,1,2846.26177777738,4357.49586353336,"Red Deer",0
3,5,4,1,1,4,1737,80.3159666419961,"Red Deer",0
1,1,1,1,1,1,2497.34044444454,2251.8622202883,"Red Deer",0
,,,,,,2128.53333333353,977.784958245182,"Red Deer",0
3,3,3,5,6,3,2290.31288888796,2349.66112750101,"Red Deer",0
1,1,1,1,3,1,2225.68000000038,1041.61375444548,"Red Deer",0
3,4,5,5,4,4,2189.83955555545,1313.05223920397,"Red Deer",0
1,1,3,5,4,3,2296.37244444505,1456.83709307275,"Red Deer",0
1,1,1,1,4,1,2747.03377777775,2430.1760753788,"Red Deer",0
4,4,4,3,3,4,1943.67377777751,426.564410828429,"Red Deer",0
,,,,,,2614.87955555565,2336.27360135987,"Red Deer",0
1,4,3,3,5,3,2063.13333333376,741.774187191858,"Red Deer",0
1,3,3,5,5,3,2474.23955555538,394.671448739631,"Red Deer",0
4,4,4,4,3,4,2183.58622222237,517.796143390902,"Red Deer",0
1,1,1,1,1,1,2524.86666666666,1382.25996144163,"Red Deer",0
3,4,4,3,1,4,1954.10577777769,1141.53629003426,"Red Deer",0
,,,,,,1929.86666666624,141.660142443997,"Red Deer",0
3,3,3,4,4,3,2093.37999999988,218.134909904978,"Red Deer",0
3,5,4,1,1,4,1904.10711111109,43.4081606092809,"Red Deer",0
1,1,1,1,1,1,2307.06622222142,595.356358099191,"Red Deer",0
5,4,4,1,4,5,2176.28755555553,147.236797975177,"Red Deer",0
